epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1168.77,0.89956,0.51862,0.9898,0.99633,0.95833,0.99192,0.72406,0.96093,0.46389,0.93552,0.0017228,0.0017228,0.0017228
44,1197.49,0.90278,0.5235,0.98469,1,0.95358,0.98026,0.70794,1.04117,0.49682,0.9418,0.0017162,0.0017162,0.0017162
45,1224.16,0.92687,0.53164,0.99066,0.99566,1,0.995,0.73775,0.96133,0.42842,0.92365,0.0017096,0.0017096,0.0017096
46,1250.79,0.90171,0.5313,0.98677,0.91541,0.95833,0.9791,0.69801,0.96112,0.46882,0.93044,0.001703,0.001703,0.001703
47,1277.47,0.89386,0.50765,0.9822,1,0.99416,0.995,0.72812,1.00363,0.43814,0.92912,0.0016964,0.0016964,0.0016964
48,1304.09,0.8948,0.51879,0.98355,0.95054,0.95833,0.96117,0.72056,0.94894,0.50639,0.91493,0.0016898,0.0016898,0.0016898
49,1330.76,0.88819,0.51112,0.98543,0.99644,0.91667,0.96239,0.70799,0.9544,0.56896,0.93342,0.0016832,0.0016832,0.0016832
50,1357.51,0.89859,0.52885,0.9857,0.99726,0.95833,0.96731,0.68684,0.99102,0.50787,0.93953,0.0016766,0.0016766,0.0016766
51,1387.02,0.87911,0.507,0.97079,1,0.95319,0.9934,0.69616,1.02075,0.43691,0.95157,0.00167,0.00167,0.00167
52,1413.93,0.886,0.50511,0.97729,0.99603,0.95833,0.99192,0.72015,1.02161,0.42251,0.92757,0.0016634,0.0016634,0.0016634
53,1440.66,0.88366,0.50411,0.97517,1,0.95828,0.98409,0.69711,1.03685,0.49026,0.9263,0.0016568,0.0016568,0.0016568
54,1469.14,0.88071,0.50027,0.97189,1,0.95258,0.98243,0.69486,1.03456,0.5426,0.92972,0.0016502,0.0016502,0.0016502
55,1497.9,0.86238,0.49726,0.9736,0.99652,0.95833,0.98324,0.68934,1.04714,0.46064,0.96573,0.0016436,0.0016436,0.0016436
56,1525.07,0.87225,0.49842,0.97787,1,0.99512,0.995,0.66393,1.10595,0.41148,0.9974,0.001637,0.001637,0.001637
57,1555.11,0.88019,0.50241,0.97348,0.98857,1,0.995,0.72101,1.02744,0.43346,0.93287,0.0016304,0.0016304,0.0016304
58,1587.48,0.8658,0.4924,0.96838,0.99264,0.95833,0.985,0.7189,1.03599,0.43885,0.93646,0.0016238,0.0016238,0.0016238
59,1617.07,0.86957,0.49409,0.97626,0.99475,0.95833,0.97841,0.69956,1.03905,0.47357,0.94111,0.0016172,0.0016172,0.0016172
60,1645.6,0.85821,0.48655,0.96489,0.99521,0.95833,0.985,0.68975,1.02031,0.46967,0.91948,0.0016106,0.0016106,0.0016106
61,1673.98,0.86033,0.49105,0.97199,1,0.95485,0.9934,0.67511,1.11968,0.48871,1.01944,0.001604,0.001604,0.001604
62,1705.26,0.85264,0.48824,0.96697,0.99646,0.95833,0.975,0.69465,1.02987,0.49412,0.95185,0.0015974,0.0015974,0.0015974
63,1732.94,0.85559,0.48254,0.96704,1,0.9554,0.99192,0.68916,1.10348,0.47024,0.98139,0.0015908,0.0015908,0.0015908
64,1760.92,0.86078,0.49269,0.96371,0.9972,0.91667,0.98121,0.68921,1.06286,0.48393,0.96442,0.0015842,0.0015842,0.0015842
65,1789.81,0.85763,0.48942,0.97114,1,0.99501,0.995,0.72106,1.0028,0.47053,0.96355,0.0015776,0.0015776,0.0015776
66,1817.82,0.8599,0.49574,0.96412,1,0.99683,0.995,0.7323,1.00725,0.43265,0.95307,0.001571,0.001571,0.001571
67,1845.55,0.85522,0.48835,0.96299,0.99634,0.91667,0.95813,0.68606,1.03194,0.5324,0.94346,0.0015644,0.0015644,0.0015644
68,1874.27,0.84368,0.47775,0.96497,0.99593,0.95833,0.99192,0.71166,1.04279,0.44062,0.95836,0.0015578,0.0015578,0.0015578
69,1903.14,0.84116,0.47335,0.96345,1,0.95094,0.97633,0.69525,1.03519,0.49438,0.94367,0.0015512,0.0015512,0.0015512
70,1931.85,0.84645,0.48612,0.95974,0.96866,0.95833,0.987,0.7085,1.02603,0.45524,0.94217,0.0015446,0.0015446,0.0015446
71,1959.87,0.83783,0.47261,0.95763,1,0.99653,0.995,0.7145,0.99677,0.43507,0.92452,0.001538,0.001538,0.001538
72,1987.6,0.83225,0.47589,0.96066,0.99641,0.95833,0.98026,0.72662,1.02772,0.47153,0.94351,0.0015314,0.0015314,0.0015314
73,2015.31,0.84419,0.47337,0.95954,1,0.99502,0.995,0.71242,1.02091,0.43769,0.92097,0.0015248,0.0015248,0.0015248
74,2043.49,0.81262,0.45722,0.95816,0.9966,0.95833,0.9881,0.71582,0.96982,0.43898,0.91116,0.0015182,0.0015182,0.0015182
75,2073.1,0.83738,0.47715,0.95907,0.997,0.95833,0.96727,0.7006,1.06608,0.46203,0.95696,0.0015116,0.0015116,0.0015116
76,2102.02,0.8168,0.46078,0.95414,0.99655,0.95833,0.98597,0.72463,0.95203,0.46007,0.90863,0.001505,0.001505,0.001505
77,2132.47,0.84386,0.47804,0.95989,0.99619,0.95833,0.9881,0.72054,0.9695,0.43354,0.92553,0.0014984,0.0014984,0.0014984
78,2160.48,0.81912,0.4646,0.95488,0.99513,0.95833,0.987,0.72368,1.00416,0.43101,0.93024,0.0014918,0.0014918,0.0014918
79,2188.48,0.8241,0.46161,0.95732,0.99605,0.95833,0.96871,0.71638,0.97664,0.46173,0.93925,0.0014852,0.0014852,0.0014852
80,2216.42,0.82056,0.46109,0.94971,0.99749,0.95833,0.9612,0.68572,1.01088,0.48729,0.95377,0.0014786,0.0014786,0.0014786
81,2244.2,0.81582,0.4616,0.95591,0.99424,0.95833,0.97786,0.71843,0.97431,0.43715,0.92966,0.001472,0.001472,0.001472
82,2272.35,0.82159,0.47501,0.95458,0.99627,0.95833,0.98167,0.70447,0.98901,0.45165,0.92381,0.0014654,0.0014654,0.0014654
83,2302.45,0.81345,0.45299,0.94949,1,0.99666,0.995,0.73111,0.99953,0.42721,0.93845,0.0014588,0.0014588,0.0014588
84,2330.88,0.81558,0.45822,0.95702,0.99827,0.95833,0.97962,0.71016,1.05171,0.46904,0.96226,0.0014522,0.0014522,0.0014522
85,2357.58,0.79942,0.45236,0.94928,0.99735,0.95833,0.97,0.71699,1.02268,0.48114,0.93897,0.0014456,0.0014456,0.0014456
86,2385.9,0.80882,0.4635,0.95275,0.99631,0.95833,0.99192,0.71846,0.98298,0.45268,0.92806,0.001439,0.001439,0.001439
87,2412.38,0.79102,0.44934,0.94805,0.99476,0.95833,0.9598,0.70017,0.98724,0.51492,0.91758,0.0014324,0.0014324,0.0014324
88,2439.63,0.8038,0.451,0.94477,0.99595,0.95833,0.97048,0.69707,1.03636,0.48621,0.94869,0.0014258,0.0014258,0.0014258
89,2467.2,0.78161,0.44139,0.94237,0.99722,0.95833,0.98597,0.70817,1.03661,0.46459,0.93725,0.0014192,0.0014192,0.0014192
90,2496.75,0.78769,0.44887,0.94895,0.99511,0.95833,0.99056,0.72477,1.04831,0.42382,0.93973,0.0014126,0.0014126,0.0014126
91,2524.67,0.79826,0.44821,0.94314,1,0.99547,0.995,0.71238,1.07976,0.39785,0.97459,0.001406,0.001406,0.001406
92,2551.84,0.78366,0.43809,0.93767,0.99779,0.95833,0.9934,0.727,1.04831,0.43781,0.94644,0.0013994,0.0013994,0.0013994
93,2580.05,0.8044,0.44918,0.94449,0.99664,0.95833,0.98597,0.73037,0.99227,0.40778,0.92958,0.0013928,0.0013928,0.0013928
94,2608.19,0.78128,0.43944,0.94226,0.99666,1,0.995,0.70705,1.09393,0.40718,0.98643,0.0013862,0.0013862,0.0013862
95,2636.47,0.78473,0.43768,0.94199,0.99728,0.95833,0.99056,0.72106,1.0746,0.45412,0.96898,0.0013796,0.0013796,0.0013796
96,2664.2,0.77152,0.43637,0.93387,1,0.99717,0.995,0.74813,0.98083,0.4346,0.91321,0.001373,0.001373,0.001373
97,2692.01,0.78154,0.43282,0.93176,0.99608,1,0.995,0.74595,0.9537,0.3764,0.91828,0.0013664,0.0013664,0.0013664
98,2722.63,0.77999,0.43133,0.9378,0.99571,0.95833,0.99192,0.71931,1.03268,0.4402,0.95865,0.0013598,0.0013598,0.0013598
99,2751.39,0.76958,0.42921,0.93364,0.99536,0.95833,0.9934,0.71786,1.05442,0.41139,0.92753,0.0013532,0.0013532,0.0013532
100,2778.68,0.76583,0.43303,0.93447,0.99609,0.95833,0.9881,0.71075,0.99652,0.44314,0.93013,0.0013466,0.0013466,0.0013466
101,2806.34,0.76424,0.43068,0.93087,0.9968,0.95833,0.96955,0.71028,1.01576,0.46174,0.93029,0.00134,0.00134,0.00134
102,29.7649,0.76391,0.47683,0.93693,0.99795,0.95833,0.99192,0.68844,1.01042,0.42583,0.92396,0.0013334,0.0013334,0.0013334
