epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2659.16,0.70015,0.38443,1.01499,0.96016,0.97688,0.98264,0.83048,0.63959,0.34531,1.00193,0.008614,0.008614,0.008614
44,2720.8,0.69934,0.37698,1.02008,0.95835,0.96705,0.98243,0.83745,0.64514,0.35425,0.99723,0.008581,0.008581,0.008581
45,2780.89,0.70503,0.37725,1.01841,0.96103,0.97687,0.98191,0.83361,0.63771,0.33306,0.9975,0.008548,0.008548,0.008548
46,2840.94,0.70373,0.37968,1.02152,0.96123,0.98005,0.98323,0.83472,0.63855,0.33981,0.99638,0.008515,0.008515,0.008515
47,2903.47,0.69746,0.37622,1.02356,0.9643,0.98008,0.98261,0.83371,0.62627,0.3203,0.99141,0.008482,0.008482,0.008482
48,2964.22,0.7014,0.38431,1.01294,0.9621,0.97505,0.98429,0.83578,0.63278,0.33101,0.99634,0.008449,0.008449,0.008449
49,3028.12,0.69626,0.37844,1.01235,0.95679,0.98145,0.97997,0.83557,0.63964,0.33467,0.99375,0.008416,0.008416,0.008416
50,3090.17,0.68445,0.37419,1.00967,0.96262,0.97344,0.98591,0.83332,0.66171,0.34274,1.01983,0.008383,0.008383,0.008383
51,3152.62,0.69967,0.36988,1.01822,0.96186,0.97807,0.98344,0.83457,0.64952,0.33177,1.0008,0.00835,0.00835,0.00835
52,3212.81,0.69505,0.37293,1.01946,0.96505,0.97891,0.98333,0.83585,0.63975,0.32278,0.99778,0.008317,0.008317,0.008317
53,3272.71,0.69039,0.36983,1.01498,0.96569,0.97242,0.98256,0.84003,0.63348,0.33288,0.99024,0.008284,0.008284,0.008284
54,3334.51,0.69231,0.37048,1.00867,0.96214,0.97154,0.98695,0.83831,0.64482,0.3274,0.99948,0.008251,0.008251,0.008251
55,3395.94,0.69372,0.37657,1.01924,0.96117,0.97819,0.98262,0.83433,0.64826,0.33005,0.99526,0.008218,0.008218,0.008218
56,3455.88,0.69083,0.37677,1.01421,0.95926,0.98123,0.98484,0.83133,0.64743,0.33123,0.99892,0.008185,0.008185,0.008185
57,3517.59,0.6879,0.37729,1.00931,0.96245,0.9719,0.9826,0.82928,0.63782,0.33456,0.99896,0.008152,0.008152,0.008152
58,3577.35,0.67945,0.36784,1.00682,0.95749,0.98031,0.98464,0.83843,0.64088,0.32789,0.99875,0.008119,0.008119,0.008119
59,3637.2,0.68481,0.37026,1.01368,0.95931,0.98629,0.98486,0.83728,0.63474,0.32456,0.99528,0.008086,0.008086,0.008086
60,3701.46,0.68544,0.37043,1.01504,0.96313,0.97838,0.98545,0.84067,0.63605,0.32635,0.99206,0.008053,0.008053,0.008053
61,3763.22,0.68035,0.37463,1.0061,0.95996,0.9843,0.98608,0.83619,0.63508,0.32029,0.99452,0.00802,0.00802,0.00802
62,3825.32,0.69612,0.37315,1.01267,0.96368,0.97665,0.98679,0.83767,0.63641,0.32279,0.99701,0.007987,0.007987,0.007987
63,3888.22,0.67528,0.36546,1.00531,0.96099,0.98121,0.98204,0.83327,0.63735,0.32238,0.99074,0.007954,0.007954,0.007954
64,3948.03,0.67993,0.3643,1.0099,0.95194,0.97882,0.98629,0.83987,0.63612,0.33379,0.99335,0.007921,0.007921,0.007921
65,4007.8,0.68035,0.3622,1.01332,0.9562,0.98151,0.98309,0.83723,0.63389,0.32309,0.98757,0.007888,0.007888,0.007888
66,4070.02,0.67904,0.36299,1.00889,0.96476,0.97581,0.98309,0.84055,0.63172,0.31917,0.98976,0.007855,0.007855,0.007855
67,4129.87,0.68167,0.35924,1.0139,0.95689,0.97957,0.98312,0.83351,0.64858,0.32823,0.99423,0.007822,0.007822,0.007822
68,4189.9,0.6802,0.36652,1.00907,0.95763,0.9827,0.98523,0.83614,0.64005,0.32318,0.99432,0.007789,0.007789,0.007789
69,4250.18,0.67457,0.36706,1.00656,0.95921,0.97823,0.98466,0.83632,0.63417,0.32444,0.9931,0.007756,0.007756,0.007756
70,4315.49,0.67787,0.36475,1.00772,0.96729,0.97413,0.98514,0.8415,0.63078,0.32312,0.98639,0.007723,0.007723,0.007723
71,4378.79,0.67423,0.36493,1.00533,0.96117,0.9778,0.98193,0.84038,0.62701,0.3186,0.98643,0.00769,0.00769,0.00769
72,4440.7,0.67988,0.36136,1.01055,0.95738,0.97986,0.98516,0.83813,0.6376,0.31804,0.99153,0.007657,0.007657,0.007657
73,4502.54,0.68296,0.36562,1.00689,0.9662,0.97609,0.98524,0.8406,0.63245,0.31012,0.98854,0.007624,0.007624,0.007624
74,4565.18,0.67676,0.36231,1.00305,0.95586,0.97831,0.98383,0.83908,0.63073,0.31992,0.9891,0.007591,0.007591,0.007591
